"NOME DO BEM","VALOR","PRAZO","1ª PARCELA","PLANO","TIPO DE VENDA",""
"CR4205 - AUTOMÓVEL LEVE 70% - R$ 25.000,00","R$ 25.000,00","96","R$ 496,05","21 - PLANO EXCLUSIVO 70%","62 - PARCELA GRADUAL",""
"CR4072 - AUTOMÓVEL LEVE R$ 25.000,00","R$ 25.000,00","96","R$ 574,18","3000 - GRUPO 3000 PARTICIPANTES","62 - PARCELA GRADUAL",""
"CR4072 - AUTOMÓVEL LEVE R$ 25.000,00","R$ 25.000,00","96","R$ 326,78","3000 - GRUPO 3000 PARTICIPANTES","114 - LINEAR",""
"CR4205 - AUTOMÓVEL LEVE 70% - R$ 25.000,00","R$ 25.000,00","96","R$ 248,65","21 - PLANO EXCLUSIVO 70%","51 - PARCELA LINEAR",""
"CR4208 - AUTOMÓVEL LEVE 70% - R$ 30.000,00","R$ 30.000,00","96","R$ 595,26","21 - PLANO EXCLUSIVO 70%","62 - PARCELA GRADUAL",""
"CR4301 - AUTOMÓVEL LEVE 50% - R$ 30.000,00","R$ 30.000,00","96","R$ 235,89","40 - PLANO EXCLUSIVO 50%","51 - PARCELA LINEAR",""
"CR4004 - AUTOMÓVEL LEVE R$ 30.000,00","R$ 30.000,00","96","R$ 689,01","3000 - GRUPO 3000 PARTICIPANTES","62 - PARCELA GRADUAL",""
"CR4301 - AUTOMÓVEL LEVE 50% - R$ 30.000,00","R$ 30.000,00","96","R$ 532,77","40 - PLANO EXCLUSIVO 50%","62 - PARCELA GRADUAL",""
"CR4208 - AUTOMÓVEL LEVE 70% - R$ 30.000,00","R$ 30.000,00","96","R$ 298,38","21 - PLANO EXCLUSIVO 70%","51 - PARCELA LINEAR",""
"CR4004 - AUTOMÓVEL LEVE R$ 30.000,00","R$ 30.000,00","96","R$ 392,13","3000 - GRUPO 3000 PARTICIPANTES","114 - LINEAR",""
"CR4211 - AUTOMÓVEL LEVE 70% - R$ 35.000,00","R$ 35.000,00","96","R$ 694,47","21 - PLANO EXCLUSIVO 70%","62 - PARCELA GRADUAL",""
"CR4302 - AUTOMÓVEL LEVE 50% - R$ 35.000,00","R$ 35.000,00","96","R$ 621,57","40 - PLANO EXCLUSIVO 50%","62 - PARCELA GRADUAL",""
"CR4057 - AUTOMOVEL LEVE R$ 35.000,00","R$ 35.000,00","96","R$ 457,49","3000 - GRUPO 3000 PARTICIPANTES","114 - LINEAR",""
"CR4211 - AUTOMÓVEL LEVE 70% - R$ 35.000,00","R$ 35.000,00","96","R$ 348,11","21 - PLANO EXCLUSIVO 70%","51 - PARCELA LINEAR",""
"CR4057 - AUTOMOVEL LEVE R$ 35.000,00","R$ 35.000,00","96","R$ 803,85","3000 - GRUPO 3000 PARTICIPANTES","62 - PARCELA GRADUAL",""
"CR4302 - AUTOMÓVEL LEVE 50% - R$ 35.000,00","R$ 35.000,00","96","R$ 275,21","40 - PLANO EXCLUSIVO 50%","51 - PARCELA LINEAR",""
"CR4044 - AUTOMÓVEL LEVE R$ 40.000,00","R$ 40.000,00","96","R$ 918,68","3000 - GRUPO 3000 PARTICIPANTES","62 - PARCELA GRADUAL",""
"CR4303 - AUTOMÓVEL LEVE 50% - R$ 40.000,00","R$ 40.000,00","96","R$ 710,36","40 - PLANO EXCLUSIVO 50%","62 - PARCELA GRADUAL",""
"CR4215 - AUTOMÓVEL LEVE 70% - R$ 40.000,00","R$ 40.000,00","96","R$ 397,84","21 - PLANO EXCLUSIVO 70%","51 - PARCELA LINEAR",""
"CR4215 - AUTOMÓVEL LEVE 70% - R$ 40.000,00","R$ 40.000,00","96","R$ 793,68","21 - PLANO EXCLUSIVO 70%","62 - PARCELA GRADUAL",""
