"NOME DO BEM","VALOR","PRAZO","1ª PARCELA","PLANO","TIPO DE VENDA",""
"IM0126 - IMÓVEL FAIXA I (70%) R$ 120.000,00","R$ 120.000,00","222","R$ 588,05","21 - PLANO EXCLUSIVO 70%","115 - R70% LINEAR",""
"IM0403 - IMÓVEL FAIXA I (50%) R$ 120.000,00","R$ 120.000,00","222","R$ 479,93","40 - PLANO EXCLUSIVO 50%","116 - R50% LINEAR",""
"IM0204 - IMOVEL FAIXA I - R$ 120.000,00","R$ 120.000,00","222","R$ 750,29","4000 - GRUPO 4000 PARTICIPANTES","114 - LINEAR",""
"IM0220 - IMOVEL FAIXA I - R$ 130.000,00","R$ 130.000,00","222","R$ 812,81","4000 - GRUPO 4000 PARTICIPANTES","114 - LINEAR",""
"IM0127 - IMÓVEL FAIXA I (70%) R$ 130.000,00","R$ 130.000,00","222","R$ 637,05","21 - PLANO EXCLUSIVO 70%","115 - R70% LINEAR",""
"IM0404 - IMÓVEL FAIXA I (50%) R$ 130.000,00","R$ 130.000,00","222","R$ 519,92","40 - PLANO EXCLUSIVO 50%","116 - R50% LINEAR",""
"IM0405 - IMÓVEL FAIXA I (50%) R$ 140.000,00","R$ 140.000,00","222","R$ 559,92","40 - PLANO EXCLUSIVO 50%","116 - R50% LINEAR",""
"IM0128 - IMÓVEL FAIXA I (70%) R$ 140.000,00","R$ 140.000,00","222","R$ 686,06","21 - PLANO EXCLUSIVO 70%","115 - R70% LINEAR",""
"IM0221 - IMOVEL FAIXA I - R$ 140.000,00","R$ 140.000,00","222","R$ 875,34","4000 - GRUPO 4000 PARTICIPANTES","114 - LINEAR",""
"IM0129 - IMÓVEL FAIXA I (70%) R$ 150.000,00","R$ 150.000,00","222","R$ 735,06","21 - PLANO EXCLUSIVO 70%","115 - R70% LINEAR",""
"IM0222 - IMOVEL FAIXA I - R$ 150.000,00","R$ 150.000,00","222","R$ 937,86","4000 - GRUPO 4000 PARTICIPANTES","114 - LINEAR",""
"IM0406 - IMÓVEL FAIXA I (50%) R$ 150.000,00","R$ 150.000,00","222","R$ 599,91","40 - PLANO EXCLUSIVO 50%","116 - R50% LINEAR",""
"IM0130 - IMÓVEL FAIXA I (70%) R$ 160.000,00","R$ 160.000,00","222","R$ 784,06","21 - PLANO EXCLUSIVO 70%","115 - R70% LINEAR",""
"IM0223 - IMOVEL FAIXA I - R$ 160.000,00","R$ 160.000,00","222","R$ 1.000,38","4000 - GRUPO 4000 PARTICIPANTES","114 - LINEAR",""
"IM0407 - IMÓVEL FAIXA I (50%) R$ 160.000,00","R$ 160.000,00","222","R$ 639,90","40 - PLANO EXCLUSIVO 50%","116 - R50% LINEAR",""
"IM0408 - IMÓVEL FAIXA I (50%) R$ 170.000,00","R$ 170.000,00","222","R$ 679,90","40 - PLANO EXCLUSIVO 50%","116 - R50% LINEAR",""
"IM0224 - IMOVEL FAIXA I - R$ 170.000,00","R$ 170.000,00","222","R$ 1.062,91","4000 - GRUPO 4000 PARTICIPANTES","114 - LINEAR",""
"IM0131 - IMÓVEL FAIXA I (70%) R$ 170.000,00","R$ 170.000,00","222","R$ 833,07","21 - PLANO EXCLUSIVO 70%","115 - R70% LINEAR",""
"IM0132 - IMÓVEL FAIXA I (70%) R$ 180.000,00","R$ 180.000,00","222","R$ 882,07","21 - PLANO EXCLUSIVO 70%","115 - R70% LINEAR",""
"IM0225 - IMOVEL FAIXA I - R$ 180.000,00","R$ 180.000,00","222","R$ 1.125,43","4000 - GRUPO 4000 PARTICIPANTES","114 - LINEAR",""
